Estabelecimento,Mes,Qtd_Apresentada,Qtd_Aprovada,taxa_aprovacao_%
SMS CENTRO CARIOCA DE ESPECIALIDADE DA ZONA OESTE AP 52,Mar/2026,650.0,620.0,95.4
SMS CENTRO CARIOCA DE ESPECIALIDADE DA ZONA OESTE AP 52,Abr/2026,2265.0,2257.0,99.6
SMS CENTRO CARIOCA DE ESPECIALIDADE DA ZONA OESTE AP 52,Jun/2026,5758.0,5745.0,99.8
SMS CENTRO CARIOCA DE ESPECIALIDADE DA ZONA OESTE AP 52,Jul/2026,5444.0,5444.0,100.0
SMS CENTRO CARIOCA DE REABILITACAO DA ZONA OESTE AP 52,Mar/2026,2915.0,1607.0,55.1
SMS CENTRO CARIOCA DE REABILITACAO DA ZONA OESTE AP 52,Abr/2026,6771.0,6770.0,100.0
SMS CENTRO CARIOCA DE REABILITACAO DA ZONA OESTE AP 52,Jun/2026,21531.0,21492.0,99.8
SMS CENTRO CARIOCA DE REABILITACAO DA ZONA OESTE AP 52,Jul/2026,28494.0,28331.0,99.4
SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,Jan/2026,6911.0,6910.0,100.0
SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,Fev/2026,6308.0,6308.0,100.0
SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,Mar/2026,8884.0,8884.0,100.0
SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,Abr/2026,6231.0,6231.0,100.0
SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,Mai/2026,6998.0,6951.0,99.3
SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,Jun/2026,6265.0,6257.0,99.9
SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,Jul/2026,5573.0,5564.0,99.8
SMS POLICLINICA CARLOS ALBERTO NASCIMENTO AP 52,Jan/2026,11260.0,11251.0,99.9
SMS POLICLINICA CARLOS ALBERTO NASCIMENTO AP 52,Fev/2026,11354.0,11353.0,100.0
SMS POLICLINICA CARLOS ALBERTO NASCIMENTO AP 52,Mar/2026,14947.0,14929.0,99.9
SMS POLICLINICA CARLOS ALBERTO NASCIMENTO AP 52,Abr/2026,13585.0,13526.0,99.6
SMS POLICLINICA CARLOS ALBERTO NASCIMENTO AP 52,Mai/2026,12551.0,12543.0,99.9
SMS POLICLINICA CARLOS ALBERTO NASCIMENTO AP 52,Jun/2026,13404.0,13322.0,99.4
SMS POLICLINICA CARLOS ALBERTO NASCIMENTO AP 52,Jul/2026,13452.0,13377.0,99.4
SMS POLICLINICA HELIO PELLEGRINO AP 22,Jan/2026,14062.0,14062.0,100.0
SMS POLICLINICA HELIO PELLEGRINO AP 22,Fev/2026,14228.0,14224.0,100.0
SMS POLICLINICA HELIO PELLEGRINO AP 22,Mar/2026,15149.0,15143.0,100.0
SMS POLICLINICA HELIO PELLEGRINO AP 22,Abr/2026,15293.0,15288.0,100.0
SMS POLICLINICA HELIO PELLEGRINO AP 22,Mai/2026,18311.0,18309.0,100.0
SMS POLICLINICA HELIO PELLEGRINO AP 22,Jun/2026,12106.0,12105.0,100.0
SMS POLICLINICA HELIO PELLEGRINO AP 22,Jul/2026,16971.0,16955.0,99.9
SMS POLICLINICA JOSE PARANHOS FONTENELLE AP 31,Jan/2026,7588.0,7588.0,100.0
SMS POLICLINICA JOSE PARANHOS FONTENELLE AP 31,Fev/2026,7268.0,7268.0,100.0
SMS POLICLINICA JOSE PARANHOS FONTENELLE AP 31,Mar/2026,9869.0,9869.0,100.0
SMS POLICLINICA JOSE PARANHOS FONTENELLE AP 31,Abr/2026,9530.0,9529.0,100.0
SMS POLICLINICA JOSE PARANHOS FONTENELLE AP 31,Mai/2026,11173.0,11131.0,99.6
SMS POLICLINICA JOSE PARANHOS FONTENELLE AP 31,Jun/2026,10217.0,10194.0,99.8
SMS POLICLINICA JOSE PARANHOS FONTENELLE AP 31,Jul/2026,9723.0,9620.0,98.9
SMS POLICLINICA LINCOLN DE FREITAS FILHO AP 53,Jan/2026,9134.0,8954.0,98.0
SMS POLICLINICA LINCOLN DE FREITAS FILHO AP 53,Fev/2026,10247.0,10184.0,99.4
SMS POLICLINICA LINCOLN DE FREITAS FILHO AP 53,Mar/2026,14423.0,14387.0,99.8
SMS POLICLINICA LINCOLN DE FREITAS FILHO AP 53,Abr/2026,13161.0,13106.0,99.6
SMS POLICLINICA LINCOLN DE FREITAS FILHO AP 53,Mai/2026,13129.0,13079.0,99.6
SMS POLICLINICA LINCOLN DE FREITAS FILHO AP 53,Jun/2026,13548.0,13370.0,98.7
SMS POLICLINICA LINCOLN DE FREITAS FILHO AP 53,Jul/2026,12863.0,12689.0,98.6
SMS POLICLINICA MANOEL GUILHERME PAM BANGU AP 51,Jan/2026,23299.0,23186.0,99.5
SMS POLICLINICA MANOEL GUILHERME PAM BANGU AP 51,Fev/2026,22017.0,22003.0,99.9
SMS POLICLINICA MANOEL GUILHERME PAM BANGU AP 51,Mar/2026,26758.0,26758.0,100.0
SMS POLICLINICA MANOEL GUILHERME PAM BANGU AP 51,Abr/2026,27551.0,27463.0,99.7
SMS POLICLINICA MANOEL GUILHERME PAM BANGU AP 51,Mai/2026,28612.0,28505.0,99.6
SMS POLICLINICA MANOEL GUILHERME PAM BANGU AP 51,Jun/2026,30762.0,30125.0,97.9
SMS POLICLINICA MANOEL GUILHERME PAM BANGU AP 51,Jul/2026,30461.0,30404.0,99.8
SMS POLICLINICA NEWTON ALVES CARDOZO AP 31,Jan/2026,11417.0,11416.0,100.0
SMS POLICLINICA NEWTON ALVES CARDOZO AP 31,Fev/2026,7511.0,7511.0,100.0
SMS POLICLINICA NEWTON ALVES CARDOZO AP 31,Mar/2026,8867.0,8867.0,100.0
SMS POLICLINICA NEWTON ALVES CARDOZO AP 31,Abr/2026,8127.0,8045.0,99.0
SMS POLICLINICA NEWTON ALVES CARDOZO AP 31,Mai/2026,9281.0,9191.0,99.0
SMS POLICLINICA NEWTON ALVES CARDOZO AP 31,Jun/2026,9266.0,8872.0,95.7
SMS POLICLINICA NEWTON ALVES CARDOZO AP 31,Jul/2026,9957.0,9615.0,96.6
SMS POLICLINICA NEWTON BETHLEM AP 40,Jan/2026,6076.0,6076.0,100.0
SMS POLICLINICA NEWTON BETHLEM AP 40,Fev/2026,7855.0,7843.0,99.8
SMS POLICLINICA NEWTON BETHLEM AP 40,Mar/2026,12470.0,12470.0,100.0
SMS POLICLINICA NEWTON BETHLEM AP 40,Abr/2026,9895.0,9895.0,100.0
SMS POLICLINICA NEWTON BETHLEM AP 40,Mai/2026,11969.0,11969.0,100.0
SMS POLICLINICA NEWTON BETHLEM AP 40,Jun/2026,11740.0,11511.0,98.0
SMS POLICLINICA NEWTON BETHLEM AP 40,Jul/2026,12407.0,12104.0,97.6
SMS POLICLINICA ROCHA MAIA AP 21,Jan/2026,1036.0,1036.0,100.0
SMS POLICLINICA ROCHA MAIA AP 21,Fev/2026,1535.0,1535.0,100.0
SMS POLICLINICA ROCHA MAIA AP 21,Mar/2026,2144.0,2144.0,100.0
SMS POLICLINICA ROCHA MAIA AP 21,Abr/2026,1747.0,1747.0,100.0
SMS POLICLINICA ROCHA MAIA AP 21,Jun/2026,2181.0,2181.0,100.0
SMS POLICLINICA ROCHA MAIA AP 21,Jul/2026,2069.0,2068.0,100.0
SMS POLICLINICA RODOLPHO ROCCO AP 32,Jan/2026,3363.0,3363.0,100.0
SMS POLICLINICA RODOLPHO ROCCO AP 32,Fev/2026,4458.0,4132.0,92.7
SMS POLICLINICA RODOLPHO ROCCO AP 32,Mar/2026,6529.0,6529.0,100.0
SMS POLICLINICA RODOLPHO ROCCO AP 32,Abr/2026,5459.0,5459.0,100.0
