estabelecimento_codigo,estabelecimento_nome,conteudo,profissional_cbo,mes_atendimento,valor
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,131210 Gerente de serviços de saúde,Out/2022,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,131210 Gerente de serviços de saúde,Jan/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,131210 Gerente de serviços de saúde,Fev/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,131210 Gerente de serviços de saúde,Mar/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,131210 Gerente de serviços de saúde,Abr/2023,1081.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,131210 Gerente de serviços de saúde,Mai/2023,863.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,131210 Gerente de serviços de saúde,Jun/2023,4578.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223208 Cirurgião dentista - clínico geral,Out/2022,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223208 Cirurgião dentista - clínico geral,Jan/2023,49.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223208 Cirurgião dentista - clínico geral,Fev/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223208 Cirurgião dentista - clínico geral,Mar/2023,8.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223208 Cirurgião dentista - clínico geral,Abr/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223208 Cirurgião dentista - clínico geral,Mai/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223208 Cirurgião dentista - clínico geral,Jun/2023,16.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223212 Cirurgião dentista - endodontista,Out/2022,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223212 Cirurgião dentista - endodontista,Jan/2023,88.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223212 Cirurgião dentista - endodontista,Fev/2023,159.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223212 Cirurgião dentista - endodontista,Mar/2023,184.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223212 Cirurgião dentista - endodontista,Abr/2023,91.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223212 Cirurgião dentista - endodontista,Mai/2023,182.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223212 Cirurgião dentista - endodontista,Jun/2023,78.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223220 Cirurgião dentista - estomatologista,Out/2022,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223220 Cirurgião dentista - estomatologista,Jan/2023,63.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223220 Cirurgião dentista - estomatologista,Fev/2023,26.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223220 Cirurgião dentista - estomatologista,Mar/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223220 Cirurgião dentista - estomatologista,Abr/2023,24.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223220 Cirurgião dentista - estomatologista,Mai/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223220 Cirurgião dentista - estomatologista,Jun/2023,54.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223228 Cirurgião dentista - odontogeriatra,Out/2022,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223228 Cirurgião dentista - odontogeriatra,Jan/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223228 Cirurgião dentista - odontogeriatra,Fev/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223228 Cirurgião dentista - odontogeriatra,Mar/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223228 Cirurgião dentista - odontogeriatra,Abr/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223228 Cirurgião dentista - odontogeriatra,Mai/2023,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223228 Cirurgião dentista - odontogeriatra,Jun/2023,1.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223236 Cirurgião dentista - odontopediatra,Out/2022,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223236 Cirurgião dentista - odontopediatra,Jan/2023,40.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223236 Cirurgião dentista - odontopediatra,Fev/2023,7.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223236 Cirurgião dentista - odontopediatra,Mar/2023,28.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223236 Cirurgião dentista - odontopediatra,Abr/2023,30.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223236 Cirurgião dentista - odontopediatra,Mai/2023,46.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223236 Cirurgião dentista - odontopediatra,Jun/2023,20.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223248 Cirurgião dentista - periodontista,Out/2022,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223248 Cirurgião dentista - periodontista,Jan/2023,250.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223248 Cirurgião dentista - periodontista,Fev/2023,118.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223248 Cirurgião dentista - periodontista,Mar/2023,57.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223248 Cirurgião dentista - periodontista,Abr/2023,152.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223248 Cirurgião dentista - periodontista,Mai/2023,315.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223248 Cirurgião dentista - periodontista,Jun/2023,92.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223260 Cirurgião dentista - radiologista,Out/2022,0.0
717,SMS POLICLINICA ANTONIO RIBEIRO NETTO AP 10,apresentada,223260 Cirurgião dentista - radiologista,Jan/2023,78.0
